ville;quartier;prix;surface;;nombre_de_chambres;nombre_de_salles_de_bain;etage;terrasse;garage;ascenseur;piscine;securite;quartier_key;lat;lon;nb_ecoles;nb_hopitaux;nb_pharmacies;nb_mosquees;nb_banques;nb_centres_commerciaux;prix_m2_quartier;score_commodites;bien_appartement;bien_bureau;bien_ferme;bien_local_commercial;bien_logement;bien_maison;bien_riad;bien_terrain;bien_villa
marrakech;route casablanca;2220000.0;127.0;;3.0;1.0;3.0;1;1;0;1;1;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;route de fez;9850000.0;3500.0;;10.0;8.0;3.0;1;1;0;1;1;marrakech_route de fez;31.6024314;-7.9715022;4;2;22;5;1;0;938.8394432564196;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;amelkis;890000.0;84.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;True;False
marrakech;gueliz;1800000.0;91.0;;2.0;1.0;3.0;1;1;1;1;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;gueliz;1800000.0;88.0;;2.0;2.0;4.0;1;1;1;0;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;gueliz;1900000.0;81.0;;2.0;2.0;1.0;1;1;1;1;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;gueliz;1800000.0;90.0;;2.0;2.0;3.0;0;1;1;0;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;gueliz;2300000.0;88.0;;2.0;1.0;1.0;1;0;1;1;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;izdihar;1600000.0;101.0;;2.0;1.0;1.0;1;1;1;0;1;marrakech_izdihar;31.6024314;-7.9715022;4;2;22;5;1;0;13529.913972888426;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;samlalia;740000.0;59.0;;1.0;1.0;3.0;0;1;1;0;0;marrakech_samlalia;31.6024314;-7.9715022;4;2;22;5;1;0;14580.337192768637;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;route de ouarzazate;19800000.0;778.0;;6.0;6.0;3.0;1;1;1;1;1;marrakech_route de ouarzazate;30.92975;-7.21359;0;0;0;0;0;0;1680.1494528647545;-1.1102653801356612;False;False;False;False;False;False;False;False;True
marrakech;amelkis;8500000.0;507.0;;6.0;6.0;3.0;1;1;0;1;0;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;amelkis;890000.0;84.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;True;False
marrakech;amelkis;2200000.0;500.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;True;False
marrakech;amelkis;2200000.0;500.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;True;False
marrakech;route de l'ourika;6500000.0;1000.0;;4.0;4.0;3.0;1;1;1;1;1;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;False;True
marrakech;route casablanca;750000.0;74.0;;2.0;1.0;3.0;0;0;0;0;0;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;hivernage;1080000.0;45.0;;1.0;1.0;3.0;1;1;1;1;1;marrakech_hivernage;31.62123;-8.01203;1;1;19;4;21;2;16315.464404976508;-0.39293461994729706;True;False;False;False;False;False;False;False;False
marrakech;samlalia;1250000.0;82.0;;2.0;1.0;1.0;0;1;1;0;0;marrakech_samlalia;31.6024314;-7.9715022;4;2;22;5;1;0;14580.337192768637;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;assif;2800000.0;200.0;;4.0;2.0;3.0;1;0;0;0;0;marrakech_assif;31.6024314;-7.9715022;4;2;22;5;1;0;13017.75147928994;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;arset sbaia;1050000.0;50.0;;1.0;1.0;2.0;1;1;1;1;0;marrakech_arset sbaia;31.6024314;-7.9715022;4;2;22;5;1;0;4227.703576044808;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;agdal;8900000.0;1045.0;;5.0;5.0;3.0;1;1;1;1;1;marrakech_agdal;31.6024314;-7.9715022;4;2;22;5;1;0;13600.140088452545;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;gueliz;1537500.0;63.0;;1.0;1.0;5.0;1;1;1;0;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;hay targa;2900000.0;241.0;;4.0;3.0;3.0;1;1;1;1;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;gueliz;1332500.0;44.0;;1.0;1.0;1.0;1;1;1;0;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;riad al atlas;1300000.0;60.0;;1.0;1.0;3.0;1;1;1;1;1;marrakech_riad al atlas;31.588905507973;-8.04853112346;16;1;41;13;11;0;15540.677393946213;-0.126375320954861;True;False;False;False;False;False;False;False;False
marrakech;route de tahanaout;4400000.0;283.0;;4.0;4.0;3.0;1;1;1;1;1;marrakech_route de tahanaout;30.4171311;-9.5992446;8;5;29;7;32;1;2348.556393200296;-0.06600453578194536;False;False;False;False;False;False;False;False;True
marrakech;gueliz;1550000.0;63.0;;1.0;1.0;3.0;1;1;1;0;0;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;riad zitoun;5000000.0;173.0;;5.0;2.0;3.0;1;0;0;0;0;marrakech_riad zitoun;31.6213954;-7.9857073;10;5;50;30;20;1;25551.14597754192;0.6089863164969593;False;False;False;False;False;True;False;False;False
marrakech;route casablanca;950000.0;10000.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;False;False;False;False;False;False;False;True;False
marrakech;route casablanca;3100000.0;160.0;;5.0;4.0;3.0;1;1;0;0;0;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;False;False;False;False;False;False;False;False;True
marrakech;arset sbaia;1550000.0;90.0;;2.0;1.0;1.0;1;1;1;1;1;marrakech_arset sbaia;31.6024314;-7.9715022;4;2;22;5;1;0;4227.703576044808;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;gueliz;1350000.0;106.0;;2.0;2.0;3.0;0;1;1;0;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;sidi youssef;1700000.0;136.0;;3.0;4.0;3.0;0;1;0;0;0;marrakech_sidi youssef;31.6208393;-7.9844175;10;5;50;28;19;1;3429.8486255723387;0.5585066221194332;False;False;False;False;False;False;False;False;True
marrakech;route de l'ourika;3350000.0;301.0;;3.0;3.0;3.0;0;0;0;0;0;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;False;True
marrakech;route de l'ourika;12000000.0;2300.0;;4.0;4.0;3.0;1;1;0;1;1;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;False;True
marrakech;agdal;1900000.0;549.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_agdal;31.6024314;-7.9715022;4;2;22;5;1;0;13600.140088452545;-0.660655646641285;False;False;False;False;False;False;False;True;False
marrakech;route amizmiz;5600000.0;800.0;;3.0;4.0;3.0;1;1;0;1;1;marrakech_route amizmiz;31.608460234265;-7.972056855067;5;3;32;7;3;0;1958.7141611159568;-0.4638229699645047;False;False;False;False;False;False;False;False;True
marrakech;route amizmiz;2835000.0;10000.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route amizmiz;31.608460234265;-7.972056855067;5;3;32;7;3;0;1958.7141611159568;-0.4638229699645047;False;False;False;False;False;False;False;True;False
marrakech;route casablanca;1743000.0;134.0;;2.0;1.0;3.0;1;0;0;1;0;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;route de l'ourika;2200000.0;560.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;True;False
marrakech;route amizmiz;10000000.0;13100.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route amizmiz;31.608460234265;-7.972056855067;5;3;32;7;3;0;1958.7141611159568;-0.4638229699645047;False;False;False;False;False;False;False;True;False
marrakech;gueliz;4500000.0;89.0;;3.0;1.0;3.0;0;0;0;0;0;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;False;False;False;True;False;False;False;False;False
marrakech;route casablanca;1400000.0;92.0;;2.0;1.0;2.0;1;1;1;1;1;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;route de tahanaout;6500000.0;10000.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route de tahanaout;30.4171311;-9.5992446;8;5;29;7;32;1;2348.556393200296;-0.06600453578194536;False;False;False;False;False;False;False;True;False
marrakech;agdal;2500000.0;87.0;;2.0;1.0;1.0;1;1;1;1;1;marrakech_agdal;31.6024314;-7.9715022;4;2;22;5;1;0;13600.140088452545;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;route de fez;8500000.0;510.0;;6.0;6.0;3.0;1;1;0;1;0;marrakech_route de fez;31.6024314;-7.9715022;4;2;22;5;1;0;938.8394432564196;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;boulevard med 6;7000000.0;280.0;;3.0;3.0;3.0;1;1;0;1;0;marrakech_boulevard med 6;31.622506273621;-8.056500550044;16;1;52;14;5;0;15176.925253668594;-0.03964179988540881;False;False;False;False;False;False;False;False;True
marrakech;boulevard med 6;2500000.0;360.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_boulevard med 6;31.622506273621;-8.056500550044;16;1;52;14;5;0;15176.925253668594;-0.03964179988540881;False;False;False;False;False;False;False;True;False
marrakech;boulevard med 6;6400000.0;292.0;;3.0;3.0;3.0;1;0;0;1;0;marrakech_boulevard med 6;31.622506273621;-8.056500550044;16;1;52;14;5;0;15176.925253668594;-0.03964179988540881;False;False;False;False;False;False;False;False;True
marrakech;route amizmiz;1900000.0;76.0;;2.0;2.0;2.0;1;1;1;1;0;marrakech_route amizmiz;31.608460234265;-7.972056855067;5;3;32;7;3;0;1958.7141611159568;-0.4638229699645047;True;False;False;False;False;False;False;False;False
marrakech;amelkis;890000.0;84.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;True;False
marrakech;route casablanca;240000.0;1220.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;False;False;False;False;False;False;False;True;False
marrakech;route casablanca;1900000.0;131.0;;3.0;2.0;5.0;1;1;1;0;1;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;hay targa;5000000.0;443.0;;4.0;4.0;3.0;1;1;0;1;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;hivernage;3190000.0;180.0;;2.0;2.0;3.0;1;1;1;0;1;marrakech_hivernage;31.62123;-8.01203;1;1;19;4;21;2;16315.464404976508;-0.39293461994729706;True;False;False;False;False;False;False;False;False
marrakech;hivernage;1900000.0;100.0;;2.0;2.0;2.0;1;1;1;1;0;marrakech_hivernage;31.62123;-8.01203;1;1;19;4;21;2;16315.464404976508;-0.39293461994729706;True;False;False;False;False;False;False;False;False
marrakech;hay yasmina;3500000.0;320.0;;8.0;4.0;3.0;1;1;0;0;0;marrakech_hay yasmina;31.623957237983;-8.032551623277;4;0;17;2;2;0;12770.897832817338;-0.8498263890107236;False;False;False;False;False;False;False;False;True
marrakech;route de fez;4600000.0;320.0;;4.0;2.0;3.0;0;1;0;1;0;marrakech_route de fez;31.6024314;-7.9715022;4;2;22;5;1;0;938.8394432564196;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;route de fez;2600000.0;285.0;;3.0;2.0;3.0;1;0;0;1;0;marrakech_route de fez;31.6024314;-7.9715022;4;2;22;5;1;0;938.8394432564196;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;gueliz;1435000.0;49.0;;1.0;1.0;1.0;1;1;1;0;0;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;gueliz;150000.0;110.0;;3.0;1.0;3.0;0;0;1;0;1;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;False;False;False;True;False;False;False;False;False
marrakech;hay targa;5000000.0;319.0;;3.0;3.0;3.0;1;1;0;1;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;hay targa;3000000.0;240.0;;4.0;3.0;3.0;1;1;0;1;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;route casablanca;3050000.0;325.0;;3.0;3.0;1.0;1;1;1;0;0;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;route casablanca;8000.0;85.0;;2.0;2.0;4.0;1;1;1;0;1;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;route casablanca;1600000.0;86.0;;2.0;2.0;4.0;1;1;1;0;1;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;sidi mimoun;6500000.0;318.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_sidi mimoun;31.5671;-8.19431;0;0;0;0;0;0;24345.65366187543;-1.1102653801356612;False;False;False;False;False;False;False;True;False
marrakech;ennakhil;7000000.0;350.0;;4.0;4.0;3.0;1;1;0;1;1;marrakech_ennakhil;31.6293792;-8.0585711;20;1;58;19;6;0;2811.198751768993;0.19147689655152456;False;False;False;False;False;False;False;False;True
marrakech;route casablanca;2400000.0;160.0;;4.0;4.0;3.0;1;1;1;1;1;marrakech_route casablanca;31.682348946527;-8.275025773622;0;0;0;0;0;0;1764.9278617717448;-1.1102653801356612;False;False;False;False;False;False;False;False;True
marrakech;gueliz;2900000.0;203.0;;3.0;3.0;3.0;1;1;1;0;0;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;agdal;8000000.0;600.0;;3.0;2.0;3.0;1;0;0;1;1;marrakech_agdal;31.6024314;-7.9715022;4;2;22;5;1;0;13600.140088452545;-0.660655646641285;False;False;False;False;False;True;False;False;False
marrakech;hay targa;10500000.0;700.0;;11.0;11.0;3.0;1;0;0;1;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;route de l'ourika;7500000.0;10000.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;True;False
marrakech;route de l'ourika;17000000.0;26000.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;True;False
marrakech;route de l'ourika;10000000.0;10000.0;;3.0;2.0;3.0;0;0;0;0;0;marrakech_route de l'ourika;31.590045807313;-7.984949694724;0;0;1;0;0;1;1443.032703249432;-0.9483753370456829;False;False;False;False;False;False;False;True;False
marrakech;route amizmiz;3950000.0;250.0;;4.0;3.0;3.0;1;1;0;1;1;marrakech_route amizmiz;31.608460234265;-7.972056855067;5;3;32;7;3;0;1958.7141611159568;-0.4638229699645047;False;False;False;False;False;False;False;False;True
marrakech;route d'agadir - essaouira;1700000.0;120.0;;2.0;2.0;2.0;1;0;0;1;1;marrakech_route d'agadir - essaouira;31.71;-9.26;0;0;0;0;0;0;408.03784762599;-1.1102653801356612;True;False;False;False;False;False;False;False;False
marrakech;izdihar;790000.0;81.0;;2.0;1.0;1.0;1;1;0;0;1;marrakech_izdihar;31.6024314;-7.9715022;4;2;22;5;1;0;13529.913972888426;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;hay saada;990000.0;96.0;;3.0;1.0;1.0;1;1;1;0;1;marrakech_hay saada;31.6742173;-8.0169194;1;0;27;3;2;0;17791.26213592233;-0.7886219695886281;True;False;False;False;False;False;False;False;False
marrakech;daoudiat;1200000.0;95.0;;3.0;2.0;3.0;1;0;0;0;1;marrakech_daoudiat;31.64852;-7.99487;12;1;49;18;16;0;14494.632367834718;0.018034873395577355;True;False;False;False;False;False;False;False;False
marrakech;sidi abbad;2200000.0;220.0;;7.0;4.0;3.0;1;0;0;0;0;marrakech_sidi abbad;31.648994;-8.0121983;14;4;52;10;35;1;8837.579617834395;0.2618802723964414;False;False;False;False;False;False;False;False;True
marrakech;samlalia;5359000.0;434.0;;10.0;4.0;3.0;0;0;0;0;0;marrakech_samlalia;31.6024314;-7.9715022;4;2;22;5;1;0;14580.337192768637;-0.660655646641285;False;False;False;False;False;False;False;False;True
marrakech;massira 2;3600000.0;112.0;;3.0;3.0;3.0;0;1;0;0;0;marrakech_massira 2;30.431695785574;-9.573260373237;18;4;32;7;7;0;13828.767123287673;-0.20300705036879685;False;False;False;False;False;True;False;False;False
marrakech;daoudiat;2400000.0;107.0;;4.0;4.0;3.0;0;1;0;0;0;marrakech_daoudiat;31.64852;-7.99487;12;1;49;18;16;0;14494.632367834718;0.018034873395577355;False;False;False;False;False;True;False;False;False
marrakech;hay targa;5500000.0;410.0;;4.0;3.0;3.0;1;1;0;1;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;gueliz;1854000.0;96.0;;2.0;2.0;3.0;1;1;1;0;0;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;hay targa;3500000.0;289.0;;4.0;2.0;3.0;1;1;0;0;1;marrakech_hay targa;31.6469821;-8.0427844;8;3;26;5;5;0;9325.2927307407;-0.5043733785279627;False;False;False;False;False;False;False;False;True
marrakech;ennakhil;2100000.0;92.0;;2.0;1.0;3.0;1;1;0;1;1;marrakech_ennakhil;31.6293792;-8.0585711;20;1;58;19;6;0;2811.198751768993;0.19147689655152456;True;False;False;False;False;False;False;False;False
marrakech;gueliz;2700000.0;136.0;;2.0;2.0;3.0;1;0;1;0;0;marrakech_gueliz;31.6323098;-8.0093736;5;5;50;12;48;1;13268.01147586316;0.25684142723798925;True;False;False;False;False;False;False;False;False
marrakech;samlalia;1700000.0;100.0;;2.0;1.0;5.0;1;1;1;0;0;marrakech_samlalia;31.6024314;-7.9715022;4;2;22;5;1;0;14580.337192768637;-0.660655646641285;True;False;False;False;False;False;False;False;False
marrakech;amelkis;9500000.0;500.0;;4.0;4.0;3.0;1;1;0;1;1;marrakech_amelkis;31.6024314;-7.9715022;4;2;22;5;1;0;10344.371067872173;-0.660655646641285;False;False;False;False;False;False;False;False;True
